,System,Institution,# sats,Sat Size,Size Spec,Homogenaity,Field,Sub-Class,Category,Type,Control Arch,Launch Date,Operation,Status,Orbit,Funding,Ref,,,,,,,,,
-,Descent,York University,2,nano,1U,identical,Tech Demo,Formation,,Tethered,,10/3/20,0,"Reentered, No signal","400 km, 51.6 deg, ISS",University,1415,,,,,,,,,
-,KSM1,Kleos Space,4,nano,6U,identical,Surveillance,Constellation,,Global,,11/7/20,2,Operational,"570 km, 37 deg",Private,1432,,,,,,,,,
-,BRO,UnSeenLabs,2,nano,6U,identical,Surveillance,Constellation,,Global,,11/20/20,1,"Operational, ?","500 km, 97.4 deg",Private,1442,,,,,,,,,
-,ARCE,University of South Florida,3,pico,0.5U,different,Tech Demo,Constellation,,Local,,1/24/21,1,Operational,"525 km, 97.5 deg",University,1487,,,,,,,,,
-,V-R3x,Carnegie Mellon,3,nano,1U,different,Tech Demo,Formation,,Swarm ,comms,1/24/21,1,Was operational,"525 km, 97.5 deg",University,1603,,,,,,,,,
-,RAAF,University of New South Wales (UNSW Canberra),2,nano,6U (1/2 12U),identical,Tech Demo,Constellation,,Global,,3/22/21,2,Operational,"550 km, 45 deg",University,1673,,,,,,,,,
-,SAMSON,Israel Institute of Technology,3,nano,6U,identical,Tech Demo,Formation,,Swarm,,3/22/21,1,"Operational, ?","550 km, 97.6 deg",University,1676,,,,,,,,,
-,CNCE,Missile Defense Agency,2,nano,3U,different,Tech Demo,Constellation,,Local,,6/30/21,2,Operational,"510 km, 60.7 deg",Military,1701,,,,,,,,,
-,KSF1,Kleos Space,4,nano,6U,different,Surveillance,Constellation,,Global,,6/30/21,2,Operational,"525 km, 97.5 deg",Private,1708,,,,,,,,,
-,LINCS1,Space Development Agency,2,nano,12U,identical,Tech Demo,Formation,,Rel Att,,6/30/21,0,"No signal, ?","525 km, 97.5 deg",Military,1718,,,,,,,,,
-,STORK,SatRevolution,13,nano,3U,different,Surveillance,Constellation,,Global,,6/30/21,1,Operational,"510 km, 60.7 deg",Private,1754,,,,,,,,,
-,Cesium,CesiumAstro,2,nano,6U,different,Tech Demo,Constellation,,Local,,9/27/21,1,Operational,"560 km, 97.6 deg",Private,1780,,,,,,,,,
-,FossaSat,Fossa Systems,14,pico,PocketQube 1p,different,Sat Internet,Constellation,,Local,,1/13/22,1,"Operational, ?","520 km, 97.5 deg",Private,1852,,,,,,,,,
-,MDASat,Cape Peninsula University of Technology,3,nano,2U,identical,Surveillance,Constellation,,Global,,1/13/22,1,Operational,"520 km, 97.5 deg",University,1874,,,,,,,,,
-,PAN,Cornell University,2,nano,3U,identical,Tech Demo,Formation,,Ren & Dock ,,1/13/22,0,No signal,"490 km, 45 deg",University,1879,,,,,,,,,
-,Unicorn,Alba Orbital,10,nano,PocketQube 2p,identical,Surveillance,Constellation,,Global,,1/13/22,0,No signal,"520 km, 97.5 deg",Private,1901,,,,,,,,,
-,SWSU,Southwestern State University,8,nano,3U,different,Tech Demo,Formation,,Swarm,,2/15/22,1,"Operational, ?","400 km, 51.6 deg, ISS",University,1914,,,,,,,,,
-,KSF2,Kleos Space,4,nano,6U,identical,Surveillance,Constellation,,Global,,4/1/22,1,"Operational, ?","500 km, 97.4 deg",Private,1949,,,,,,,,,
-,SUCHAI,University of Chile,4,nano,3U,different,Tech Demo,Formation,,Rel Pos ,,4/1/22,1,"Operational, ?","500 km, 97.4 deg",University,1968,,,,,,,,,
-,TROPICS,MIT (Massachusetts Institute of Technology),6,nano,3U,different,Earth Sci,Formation,,Dist  Sens,,6/12/22,0,Launch failure,,University,2040,,,,,,,,,
-,QUBIK,Libre Space,4,nano,PocketQube 1p,different,Tech Demo,Constellation,,Local,,10/1/22,0,?,"180 km, 136.8 deg",Private,2085,,,,,,,,,
-,MAGNARO,Nagoya University ,2,nano,1U,different,Tech Demo,Formation,,Rel Pos ,,not launched,0,Launch failure,,University,2090,,,,,,,,,
-,Thybolt,Dhruva,2,pico,0.4U,indentical,Tech Demo,Constellation,,Global,,11/26/22,1,Operational,"505 km, 97.45 deg",Private,2123,,,,,,,,,
-,VariSat,VariSat,8,nano,6U,different,Communications,Constellation,,Global,,not launched,0,not launched,,Private,2088,,,,,,,,,
,CIRCE,US Naval Research Laboratory,2,,6U,identical,,idk,,,,not launched,0,not launched,,,2093,,,,,,,,,
,KSF3,Kleos Space,4,,6U,different,,Constellation,,,,not launched,0,not launched,,,2110,,,,,,,,,
,Pleiades,Stanford University,3,,1U,different,,idk,,,,not launched,0,not launched,,,2120,,,,,,,,,
,Zeus,Qosmosys,4,,3U,different,,idk,,,,not launched,0,not launched,,,2126,,,,,,,,,
,Starling1,NASA Ames Research Center,4,,6U,different,,idk,,,,not launched,0,not launched,,,2134,,,,,,,,,
,ANSER,National Institute of Aerospace Technology (INTA),4,,3U,different,,idk,,,,not launched,0,not launched,,,2177,,,,,,,,,
,CAS,CAMSAT (Chinese Amateur Satellite Group),2,,3U,identical,,idk,,,,not launched,0,not launched,,,2195,,,,,,,,,
,Clyde,AAC Clyde Space,2,,3U,different,,idk,,,,not launched,0,not launched,,,2200,,,,,,,,,
,ELO,Eutelsat,2,,6U,different,,Constellation,,,,not launched,0,not launched,,,2213,,,,,,,,,
,KASI,Korea Astronomy and Space Science Institute (KASI),4,,6U,identical,,idk,,,,not launched,0,not launched,,,2240,,,,,,,,,
,Linus,Lockheed Martin,2,,12U,different,,Constellation,,,,not launched,0,not launched,,,2245,,,,,,,,,
,Myriota,Myriota,2,,3U,different,,idk,,,,not launched,0,not launched,,,2256,,,,,,,,,
,PREFIRE,University of Wisconsin,2,,3U,identical,,idk,,,,not launched,0,not launched,,,2273,,,,,,,,,
,PTD,NASA Ames Research Center,2,,6U,identical,,idk,,,,not launched,0,not launched,,,2278,,,,,,,,,
,Shiver,Air Force Research Laboratory (AFRL),4,,12U,different,,idk,,,,not launched,0,not launched,,,2287,,,,,,,,,
,TRYAD,Auburn University,2,,6U,identical,,idk,,,,not launched,0,not launched,,,2303,,,,,,,,,
,Binar,Curtin University,8,,1U,different,,idk,,,,not launched,0,not launched,,,2312,,,,,,,,,
,BROS,Norway Defence Research Establishment,2,,6U,different,,idk,,,,not launched,0,not launched,,,2315,,,,,,,,,
,GEMS,Orbital Micro Systems,5,,6U,different,,Constellation,,,,not launched,0,not launched,,,2317,,,,,,,,,
,EarthTV,Sen,4,,16U,different,,idk,,,,not launched,0,not launched,,,2327,,,,,,,,,
,WVSAT,NearSpace Launch,4,,ThinSat 1x2T+3x1T,different,,idk,,,,not launched,0,not launched,,,2347,,,,,,,,,
,Centauri,Fleet Space,9,,6U,different,,idk,,,,not launched,0,not launched,,,2362,,,,,,,,,
,Connecta,Plan-S,2,,3U,identical,,idk,,,,not launched,0,not launched,,,2364,,,,,,,,,
,CURIE,University of California Berkeley,2,,3U,identical,,idk,,,,not launched,0,not launched,,,2369,,,,,,,,,
,GNSSaS,The National Space Science and Technology Center (NSSTC),2,,3U,identical,,idk,,,,not launched,0,not launched,,,2380,,,,,,,,,
,ISISpace,ISISpace,2,,6U,different,,idk,,,,not launched,0,not launched,,,2386,,,,,,,,,
,Maya,STeP UP University of the Philippines,2,,1U,identical,,idk,,,,not launched,0,not launched,,,2394,,,,,,,,,
,Pony,Lockheed Martin,2,,12U,different,,formation,,,,not launched,0,not launched,,,2406,,,,,,,,,
,Space,?,10,,3U,different,,idk,,,,not launched,0,not launched,,,2416,,,,,,,,,
,Startical,Startical,3,,6U,identical,,idk,,,,not launched,0,not launched,,,2430,,,,,,,,,
,Ukko,ReOrbit,2,,6U,identical,,formation,,,,not launched,0,not launched,,,2435,,,,,,,,,
,Yareelo,Bauman Moscow State Technical University,2,,3U,identical,,idk,,,,not launched,0,not launched,,,2442,,,,,,,,,
,CLICK,Massachusetts Institute of Technology,2,,3U,different,,idk,,,,not launched,0,not launched,,,2510,,,,,,,,,
,Faraday,In-Space Missions,2,,6U,different,,idk,,,,not launched,0,not launched,,,2519,,,,,,,,,
,GROOVE,German Orbital Systems,2,,3U,identical,,idk,,,,not launched,0,not launched,,,2520,,,,,,,,,
,HERMES,INAF (National Institute for Astrophysics),6,,3U,identical,,idk,,,,not launched,0,not launched,,,2521,,,,,,,,,
,SunRISE,NASA JPL,6,,6U,different,,idk,,,,not launched,0,not launched,,,2523,,,,,,,,,
,Amber,Horizon Technologies,2,,6U,different,,Constellation,,,,not launched,0,not launched,,,2532,,,,,,,,,
,Bluefield,Bluefield,2,,16U,different,,Constellation,,,,not launched,0,not launched,,,2541,,,,,,,,,
,CLE,ISISpace,3,,12U,identical,,idk,,,,not launched,0,not launched,,,2552,,,,,,,,,
,DODONA,University of Southern California,3,,1.5U,different,,idk,,,,not launched,0,not launched,,,2569,,,,,,,,,
,Helios,Helios Wire,27,,6U,different,,Constellation,,,,not launched,0,not launched,,,2610,,,,,,,,,
,HyperCube,Harris Corporation,11,,6U,different,,idk,,,,not launched,0,not launched,,,2645,,,,,,,,,
,IOD,Satellite Applications Catapult,2,,3U,identical,,idk,,,,not launched,0,not launched,,,2660,,,,,,,,,
,NorthStar,NorthStar,3,,12U,identical,,Constellation,,,,not launched,0,not launched,,,2699,,,,,,,,,
,REC,SatRevolution,8,,6U,identical,,idk,,,,not launched,0,not launched,,,2718,,,,,,,,,
,SWARM,Olin College,3,,3U,identical,,Constellation,,,,not launched,0,not launched,,,2748,,,,,,,,,
,TOM,Zentrum f√ºr Telematik,3,,1U,different,,idk,,,,not launched,0,not launched,,,2754,,,,,,,,,
,VISORS,University of Illinois Urbana-Champaign,2,,6U,different,,idk,,,,not launched,0,not launched,,,2765,,,,,,,,,
,xSPANCION,AAC Clyde Space,10,,6U,different,,idk,,,,not launched,0,not launched,,,2769,,,,,,,,,
,CHESS,Swiss Federal Institute of Technology Lausanne,4,,3U,different,,idk,,,,not launched,0,not launched,,,2778,,,,,,,,,
,EZIE,John Hopkins University Applied Physics Laboratory,3,,6U,identical,,idk,,,,not launched,0,not launched,,,2784,,,,,,,,,
,PISAT,Poland‚Äôs Armed Forces,3,,6U,identical,,Constellation,,,,not launched,0,not launched,,,2800,,,,,,,,,
,RACE,ESA,2,,6U,identical,,idk,,,,not launched,0,not launched,,,2805,,,,,,,,,
,SCOUT,GomSpace,3,,12U,identical,,idk,,,,not launched,0,not launched,,,2807,,,,,,,,,
,TANGO,TNO (Netherlands Organisation for Applied Scientific Research),2,,12U,identical,,idk,,,,not launched,0,not launched,,,2814,,,,,,,,,
,CloudCT,Technion - Israel Institute of Technology,10,,3U,identical,,idk,,,,not launched,0,not launched,,,2837,,,,,,,,,
,Dock,Stellenbosch University,2,,1U,identical,,idk,,,,not launched,0,not launched,,,2852,,,,,,,,,
,DRACO,ISAE-Supaero University of Toulouse,2,,6U,identical,,idk,,,,not launched,0,not launched,,,2854,,,,,,,,,
,SATURN,OHB Italia,3,,16U,identical,,idk,,,,not launched,0,not launched,,,2867,,,,,,,,,
,SEIRIOS,University of Tokyo,2,,6U,identical,,idk,,,,not launched,0,not launched,,,2871,,,,,,,,,
,SULIS,Northumbria University,6,,12U,identical,,Formation,,,,not launched,0,not launched,,,2875,,,,,,,,,
,AISTECH6U,Aistech,4,,6U,identical,,Constellation,,,,x_cancelled,0,cancelled,,,2888,,,,,,,,,
,BlueWalker,AST & Science,2,,6U,identical,,idk,,,,x_cancelled,0,cancelled,,,2915,,,,,,,,,
,Buccaneer,University of New South Wales at the Australian Defence Force Academy (UNSW Canberra),6,,3U,identical,,Formation,,,,x_cancelled,0,cancelled,,,2918,,,,,,,,,
,CADRE,Swiss Federal Institute of Technology in Lausanne,2,,8U,identical,,idk,,,,x_cancelled,0,cancelled,,,2925,,,,,,,,,
,Ceres,Planetary Resources,10,,12U,different,,Constellation,,,,x_cancelled,0,cancelled,,,2933,,,,,,,,,
,CONASAT,National Institute for Space Research,2,,8U,identical,,idk,,,,x_cancelled,0,cancelled,,,2949,,,,,,,,,
,DANU,Aistech,10,,2U,different,,Constellation,,,,x_cancelled,0,cancelled,,,2968,,,,,,,,,
,DELFFI,Delft University of Technology,2,,3U,identical,,idk,,,,x_cancelled,0,cancelled,,,2978,,,,,,,,,
,FACE,ESA,2,,3U,identical,,idk,,,,x_cancelled,0,cancelled,,,3002,,,,,,,,,
,FALCON,University at Buffalo (UB),2,,6U,identical,,Formation,,,,x_cancelled,0,cancelled,,,3004,,,,,,,,,
,GIOT,NanoAvionics,3,,6U,identical,,Constellation,,,,x_cancelled,0,cancelled,,,3011,,,,,,,,,
,Hera,Hera Systems,8,,12U,identical,,constellation,,,,x_cancelled,0,cancelled,,,3023,,,,,,,,,
,INSPIRE,NASA Jet Propulsion Laboratory,2,,3U,identical,,idk,,,,x_cancelled,0,cancelled,,,3044,,,,,,,,,
,OCEAN,SRT Marine,6,,3U,different,,Constellation,,,,x_cancelled,0,cancelled,,,3109,,,,,,,,,
,Outernet,Outernet,4,,1U,different,,Formation,,,,x_cancelled,0,cancelled,,,3120,,,,,,,,,
,PEARLS,Sky and Space Global,200,,8U (4Ux2U),different,,idk,,,,x_cancelled,0,cancelled,,,3130,,,,,,,,,
,PQ,Micro-Space Inc,4,,0.12 kg,identical,,idk,,,,x_cancelled,0,cancelled,,,3348,,,,,,,,,
,QuARCS,"University of California, Davis",2,,1U,identical,,idk,,,,x_cancelled,0,cancelled,,,3357,,,,,,,,,
,Rascal,Saint Louis University,2,,3U,identical,,idk,,,,x_cancelled,0,cancelled,,,3363,,,,,,,,,
,RoBiSat,Romanian Space Agency Institute of Space Science,2,,2U,identical,,idk,,,,x_cancelled,0,cancelled,,,3369,,,,,,,,,
,Rupercorp,Rupercorp,3,,6U,identical,,Constellation,,,,x_cancelled,0,cancelled,,,3375,,,,,,,,,
,RyeF3Ex,Ryerson University,2,,PocketQube,identical,,idk,,,,x_cancelled,0,cancelled,,,3379,,,,,,,,,
,SCION,University of Michigan,2,,1U,identical,,idk,,,,x_cancelled,0,cancelled,,,3386,,,,,,,,,
,SpaceTime,SpaceTime Enterprises,2,,3U,identical,,idk,,,,x_cancelled,0,cancelled,,,3405,,,,,,,,,
,Starling,Aerial & Maritime,8,,3U,different,,idk,,,,x_cancelled,0,cancelled,,,3409,,,,,,,,,
,TetherSat,Naval Postgraduate School (NPS),2,,1.5U,identical,,idk,,,,x_cancelled,0,cancelled,,,3431,,,,,,,,,
,Tomsk,Tomsk Polytechnic University,2,,3U,different,,idk,,,,x_cancelled,0,cancelled,,,3435,,,,,,,,,
,TY1,Hunan Amateur Radio Society,2,,6U,identical,,idk,,,,x_cancelled,0,cancelled,,,3445,,,,,,,,,
,Ulises,,,,,,,,,,,,,,,,,,,,,,,,,